studierende_concept_id,studierende_concept_label,close_match_personal_ids,close_match_personal_labels,exact_match_personal_ids,exact_match_personal_labels,related_match_personal_ids , related_match_personal_labels, Bemerkungen,Nachweis zu Bemerkungen
01,Geisteswissenschaften,,,1,Geisteswissenschaften,
01.001,Geisteswissenschaften allgemein,01.010.0100,Lernbereich Geisteswissenschaften,,,,,abweichender Begriff
01.001.0004,Interdisziplinäre Studien (Schwerpunkt Geisteswissenschaften),01.010.0120,Interdisziplinäre Studien (Schwerpunkt Geisteswissenschaften),,,
01.001.0090,Lernbereich Geisteswissenschaften,,,,,
01.002,"Evangelische Theologie, -Religionslehre",,,,,
01.002.0053,"Evang. Theologie, -Religionslehre",01.020.0250,Praktische Theologie und Religionspädagogik (evang. Th.),,,,,abweichender Begriff
01.002.0161,Diakoniewissenschaft,01.020.0215,Diakoniewissenschaft,,,
01.002.0544,"Evang. Religionspädagogik, kirchliche Bildungsarbeit",01.020.0250,Praktische Theologie und Religionspädagogik (evang. Th.),,,,,abweichender Begriff
01.003,"Katholische Theologie, -Religionslehre",,,,,
01.003.0086,"Kath. Theologie, -Religionslehre",01.030.0300; 01.030.0340,"Kath. Theologie allgemein | Praktische Theologie und Religionspädagogik (kath. Th.)",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen,
01.003.0162,Caritaswissenschaft,01.030.0315,Caritaswissenschaft,,,
01.003.0545,"Kath. Religionspädagogik, kirchliche Bildungsarbeit",01.030.0340,Praktische Theologie und Religionspädagogik (kath. Th.),,,,,abweichender Begriff
01.004,Philosophie,,,1040,Philosophie,
01.004.0127,Philosophie,,,,,
01.004.0136,Religionswissenschaft,01.040.0410,Religionswissenschaft,,,
01.004.0169,Ethik,01.040.0400,Philosophie allgemein,,,,,abweichender Begriff
01.005,Geschichte,,,1050,Geschichte,
01.005.0012,Archäologie,01.050.0570,Archäologie,,,
01.005.0068,Geschichte,01.050.0500,Geschichte allgemein,,,,,
01.005.0183,Wirtschafts-/Sozialgeschichte,01.050.0560,Wirtschafts- und Sozialgeschichte,,,,,
01.005.0272,Alte Geschichte,01.050.0520,Alte Geschichte,,,
01.005.0273,Mittlere und neuere Geschichte,,,,,,,"Klassisches Problem der Epochenbildung innerhalb der Geschichtswissenschaft, die Zusammenfassung von mittlerer Geschichte eher unüblich. Daher hier ein Zuschlag zur Geschichte des Mittelalters und der frühen Neuzeit."
01.005.0275,Wissenschaftsgeschichte/Technikgeschichte,01.050.0595,Wissenschaftsgeschichte/Technikgeschichte,,,
01.005.0548,Ur- und Frühgeschichte,01.050.0510,Ur- und Frühgeschichte,,,
01.006,Informations- und Bibliothekswissenschaften,,,1070,Informations- und Bibliothekswissenschaften,
01.006.0022,Informations- und Bibliothekswissenschaften (nicht für Verwaltungsfachhochschulen),01.070.0710; 01.070.0730,"Bibliothekswissenschaft (nicht für Verwaltungs-FH) | Informationswissenschaft",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
01.006.0037,Archiv- und Dokumentationswissenschaft,01.070.0720,Archiv- und Dokumentationswissenschaft,,,
01.007,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,,,1080,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,
01.007.0018,Berufsbezogene Fremdsprachenausbildung,01.080.0830,"Angewandte Sprachwissenschaft, berufsbezogene Fremdsprachenausbildung",,,,,abweichender Begriff
01.007.0152,Allgemeine Sprachwissenschaft,01.080.0800; 01.080.0810,"Allgemeine und vergleichende Literatur- und Sprachwissenschaft allgemein | Allg. und vergleichende Sprachwissenschaft",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
01.007.0160,Computerlinguistik,01.080.0835,Computerlinguistik,,,
01.007.0188,Allgemeine Literaturwissenschaft,01.080.0800; 01.080.0820,"Allgemeine und vergleichende Literatur- und Sprachwissenschaft allgemein | Allg. und vergleichende Literaturwissenschaft",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
01.007.0284,Angewandte Sprachwissenschaft,01.080.0830,"Angewandte Sprachwissenschaft, berufsbezogene Fremdsprachenausbildung",,,,,abweichender Begriff,
01.008,"Altphilologie (klassische Philologie), Neugriechisch",,,,,
01.008.0005,Klassische Philologie,01.090.0900,Altphilologie allgemein,,,,,abweichender Begriff
01.008.0031,Byzantinistik,01.090.0930,Byzantinistik,,,
01.008.0043,Neugriechisch,01.090.0940,Neugriechisch,,,
01.008.0070,Griechisch,01.090.0910,Griechische Philologie,,,,,abweichender Begriff
01.008.0095,Latein,01.090.0920,Lateinische Philologie,,,,,abweichender Begriff
01.009,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)",,,1100,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)",
01.009.0034,Dänisch,01.100.1070,Sonstige germanische Sprachen (ohne Anglistik),,,,,abweichender Begriff,
01.009.0067,Germanistik/Deutsch,01.100.1000,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik) allgemein",,,,,abweichender Begriff/Plus
01.009.0119,Niederländisch,01.100.1030,Niederlandistik,,,,,abweichender Begriff
01.009.0120,"Nordistik/Skandinavistik (Nord. Philologie, Einzelsprachen a.n.g.)",01.100.1020; 01.100.1070,"Skandinavistik | Sonstige germanische Sprachen (ohne Anglistik)",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
01.009.0189,Niederdeutsch,01.100.1070,Sonstige germanische Sprachen (ohne Anglistik),,,,,abweichender Begriff
01.009.0271,Deutsch als Fremdsprache oder als Zweitsprache,01.100.1040,Deutsch als Fremdsprache oder als Zweitsprache,,,
01.010,"Anglistik, Amerikanistik",,,1110,"Anglistik, Amerikanistik",
01.010.0006,Amerikanistik/Amerikakunde,01.110.1110,Amerikanistik,,,,,abweichender Begriff/Minus
01.010.0008,Anglistik/Englisch,01.110.1100,Anglistik,,,,,abweichender Begriff/Minus
01.011,Romanistik,,,1120,Romanistik,
01.011.0059,Französisch,01.120.1210,Französische Sprach- und Literaturwissenschaft,,,,,abweichender Begriff/Plus
