studierende_concept_id,studierende_concept_label,close_match_personal_ids,close_match_personal_labels,exact_match_personal_ids,exact_match_personal_labels
01,Geisteswissenschaften,,,01,Geisteswissenschaften
01.001,Geisteswissenschaften allgemein,,,,
01.001.0004,Interdisziplinäre Studien (Schwerpunkt Geisteswissenschaften),01.010.0120,Interdisziplinäre Studien (Schwerpunkt Geisteswissenschaften),,
01.001.0090,Lernbereich Geisteswissenschaften,,,,
01.002,"Evangelische Theologie, -Religionslehre",,,,
01.002.0053,"Evang. Theologie, -Religionslehre",,,,
01.002.0161,Diakoniewissenschaft,01.020.0215,Diakoniewissenschaft,,
01.002.0544,"Evang. Religionspädagogik, kirchliche Bildungsarbeit",,,,
01.003,"Katholische Theologie, -Religionslehre",,,,
01.003.0086,"Kath. Theologie, -Religionslehre",,,,
01.003.0162,Caritaswissenschaft,01.030.0315,Caritaswissenschaft,,
01.003.0545,"Kath. Religionspädagogik, kirchliche Bildungsarbeit",,,,
01.004,Philosophie,,,01.040,Philosophie
01.004.0127,Philosophie,,,,
01.004.0136,Religionswissenschaft,01.040.0410,Religionswissenschaft,,
01.004.0169,Ethik,,,,
01.005,Geschichte,,,01.050,Geschichte
01.005.0012,Archäologie,01.050.0570,Archäologie,,
01.005.0068,Geschichte,,,,
01.005.0183,Wirtschafts-/Sozialgeschichte,,,,
01.005.0272,Alte Geschichte,01.050.0520,Alte Geschichte,,
01.005.0273,Mittlere und neuere Geschichte,,,,
01.005.0275,Wissenschaftsgeschichte/Technikgeschichte,01.050.0595,Wissenschaftsgeschichte/Technikgeschichte,,
01.005.0548,Ur- und Frühgeschichte,01.050.0510,Ur- und Frühgeschichte,,
01.006,Informations- und Bibliothekswissenschaften,,,01.070,Informations- und Bibliothekswissenschaften
01.006.0022,Informations- und Bibliothekswissenschaften (nicht für Verwaltungsfachhochschulen),,,,
01.006.0037,Archiv- und Dokumentationswissenschaft,01.070.0720,Archiv- und Dokumentationswissenschaft,,
01.007,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,,,01.080,Allgemeine und vergleichende Literatur- und Sprachwissenschaft
01.007.0018,Berufsbezogene Fremdsprachenausbildung,,,,
01.007.0152,Allgemeine Sprachwissenschaft/Indogermanistik,,,,
01.007.0160,Computerlinguistik,01.080.0835,Computerlinguistik,,
01.007.0188,Allgemeine Literaturwissenschaft,,,,
01.007.0284,Angewandte Sprachwissenschaft,,,,
01.008,"Altphilologie (klassische Philologie), Neugriechisch",,,,
01.008.0005,Klassische Philologie,,,,
01.008.0031,Byzantinistik,01.090.0930,Byzantinistik,,
01.008.0043,Neugriechisch,01.090.0940,Neugriechisch,,
01.008.0070,Griechisch,,,,
01.008.0095,Latein,,,,
01.009,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)",,,01.100,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)"
01.009.0034,Dänisch,,,,
01.009.0067,Germanistik/Deutsch,,,,
01.009.0119,Niederländisch,,,,
01.009.0120,"Nordistik/Skandinavistik (Nord. Philologie, Einzelsprachen a.n.g.)",,,,
01.009.0189,Niederdeutsch,,,,
01.009.0271,Deutsch als Fremdsprache oder als Zweitsprache,01.100.1040,Deutsch als Fremdsprache oder als Zweitsprache,,
01.010,"Anglistik, Amerikanistik",,,01.110,"Anglistik, Amerikanistik"
01.010.0006,Amerikanistik/Amerikakunde,,,,
01.010.0008,Anglistik/Englisch,,,,
01.011,Romanistik,,,01.120,Romanistik
01.011.0059,Französisch,,,,
01.011.0084,Italienisch,,,,
01.011.0131,Portugiesisch,,,,
01.011.0137,"Romanistik (Romanische Philologie, Einzelsprachen a.n.g.)",,,,
01.011.0150,Spanisch,,,,
01.012,"Slawistik, Baltistik, Finno-Ugristik",,,01.130,"Slawistik, Baltistik, Finno-Ugristik"
01.012.0016,Baltistik,01.130.1350,Baltistik,,
01.012.0056,Finno-Ugristik,01.130.1370,Finno-Ugristik,,
01.012.0130,Westslawisch (allgemein und a.n.g.),,,,
01.012.0139,Russisch,,,,
01.012.0146,Slawistik (Slaw. Philologie),,,,
01.012.0153,"Südslawisch (Bulgarisch, Serbokroatisch, Slowenisch usw.)",,,,
01.012.0206,Polnisch,01.130.1346,Polnisch,,
01.012.0207,Sorabistik,01.130.1347,Sorabistik,,
01.012.0209,Tschechisch,01.130.1348,Tschechisch,,
01.013,Sonstige Sprach- und Kulturwissenschaften,,,01.140,Sonstige Sprach- und Kulturwissenschaften
01.013.0001,Ägyptologie,01.140.1410,Ägyptologie,,
01.013.0002,Afrikanistik,01.140.1420,Afrikanistik,,
01.013.0010,Arabisch/Arabistik,,,,
01.013.0015,Außereuropäische Sprachen und Kulturen in Ozeanien und Amerika,,,,
01.013.0073,Judaistik/Hebräisch ,01.140.1460,Judaistik/Hebräisch,,
01.013.0078,Indologie,01.140.1490,Indologie,,
01.013.0081,Iranistik,01.140.1480,Iranistik,,
01.013.0083,Islamwissenschaft,01.140.1470,Islamwissenschaft,,
01.013.0085,Japanologie,01.140.1540,Japanologie,,
01.013.0122,"Orientalistik, Altorientalistik",,,,
01.013.0145,Sinologie/Koreanistik,,,,
01.013.0158,Turkologie,01.140.1510,Turkologie,,
01.013.0180,Kaukasistik,01.140.1465,Kaukasistik,,
01.013.0187,Asiatische Sprachen und Kulturen/Asienwissenschaften,,,,
01.014,Kulturwissenschaften i.e.S.,,,01.160,Kulturwissenschaften i.e.S.
01.014.0024,Europäische Ethnologie und Kulturwissenschaft,,,,
01.014.0173,Ethnologie,01.160.1580,Ethnologie,,
01.014.0174,Volkskunde,01.160.1590,Volkskunde,,
01.018,Islamische Studien/Islamische Theologie,,,01.195,Islamische Studien/Islamische Theologie
01.018.0292,Islamische Studien/Islamische Theologie,,,,
01.019,Medienwissenschaft,,,01.197,Medienwissenschaft
01.019.0302,Medienwissenschaft,,,,
02,Sport,,,,
02.022,"Sport, Sportwissenschaft",,,,
02.022.0029,Sportwissenschaft,,,,
02.022.0098,Sportpädagogik/Sportpsychologie,02.200.2020,Sportpädagogik/Sportpsychologie,,
03,"Rechts-, Wirtschafts- und Sozialwissenschaften",,,03,"Rechts-, Wirtschafts- und Sozialwissenschaften"
03.023,"Rechts-, Wirtschafts- und Sozialwissenschaften allgemein",,,,
03.023.0030,"Interdisziplin. Studien (Schwerpunkt Rechts-, Wirtschafts- und Sozialwissenschaften)",03.220.2210,"Interdisziplinäre Studien (Schwerpunkt Rechts-, Wirtschafts- und Sozialwissenschaften)",,
03.023.0055,Orientierungsstudium Gesellschaftswissenschaften,,,,
03.023.0154,Lernbereich Gesellschaftslehre,,,,
03.024,Regionalwissenschaften,,,03.225,Regionalwissenschaften
03.024.0036,Sonstige Regionalwissenschaften,,,,
03.024.0038,Lateinamerika-Studien,03.225.2255,Lateinamerika-Studien,,
03.024.0044,Ost- und Südosteuropa-Studien,03.225.2285,Ost- und Südosteuropa-Studien,,
03.025,Politikwissenschaft,,,03.230,Politikwissenschaft
03.025.0129,Politikwissenschaft/Politologie,,,,
03.026,Sozialwissenschaften/Soziologie,,,03.235,Sozialwissenschaften/Soziologie
03.026.0147,Sozialkunde,03.235.2345,Sozialkunde,,
03.026.0148,Sozialwissenschaften,,,,
03.026.0149,Soziologie,,,,
03.027,Sozialwesen,,,03.240,Sozialwesen
03.027.0208,Soziale Arbeit,03.240.2410,Soziale Arbeit,,
03.027.0245,Sozialpädagogik,03.240.2420,Sozialpädagogik,,
03.027.0253,Sozialwesen,,,,
03.028,Rechtswissenschaften,,,03.250,Rechtswissenschaften
03.028.0042,Wirtschaftsrecht,03.250.2640,Wirtschaftsrecht,,
03.028.0135,Rechtswissenschaft,,,,
03.029,Verwaltungswissenschaften,,,03.270,Verwaltungswissenschaften
03.029.0168,Justizvollzug,03.270.2780,Justizvollzug,,
03.029.0172,Verwaltungswissenschaft/-wesen,,,,
03.029.0255,Archivwesen,03.270.2711,Archivwesen,,
03.029.0256,Rechtspflege,03.270.2610,Rechtspflege,,
03.029.0257,Arbeits- und Berufsberatung,03.270.2710,Arbeits- und Berufsberatung,,
03.029.0258,Arbeitsverwaltung,03.270.2720,Arbeitsverwaltung,,
03.029.0259,Auswärtige Angelegenheiten,03.270.2730,Auswärtige Angelegenheiten,,
03.029.0260,Bundeswehrverwaltung,03.270.2750,Bundeswehrverwaltung,,
03.029.0261,Innere Verwaltung,,,,
03.029.0262,Bibliothekswesen,03.270.2712,Bibliothekswesen,,
03.029.0263,Polizei/Verfassungsschutz,03.270.2790,Polizei/Verfassungsschutz,,
03.029.0264,Sozialversicherung,,,,
03.029.0265,Bankwesen,03.270.2740,Bankwesen,,
03.029.0266,Finanzverwaltung,03.270.2760,Finanzverwaltung,,
03.029.0268,Verkehrswesen,03.270.2830,Verkehrswesen,,
03.029.0269,Zoll- und Steuerverwaltung,03.270.2840,Zoll- und Steuerverwaltung,,
03.030,Wirtschaftswissenschaften,,,03.290,Wirtschaftswissenschaften
03.030.0011,Arbeitslehre/Wirtschaftslehre,,,,
03.030.0021,Betriebswirtschaftslehre,03.290.2960,Betriebswirtschaftslehre,,
03.030.0166,Sportmanagement/Sportökonomie,03.290.2925,Sportmanagement/Sportökonomie,,
03.030.0167,Europäische Wirtschaft,,,,
03.030.0175,Volkswirtschaftslehre,03.290.2930,Volkswirtschaftslehre,,
03.030.0181,Wirtschaftspädagogik,03.290.2910,Wirtschaftspädagogik,,
03.030.0182,Intern. Betriebswirtschaft/Management,,,,
03.030.0184,Wirtschaftswissenschaften,,,,
03.030.0210,Verkehrswirtschaft,03.290.2971,Verkehrswirtschaft,,
03.030.0274,Tourismuswirtschaft,03.290.2815,Tourismuswirtschaft,,
03.030.0304,Medienwirtschaft/Medienmanagement,03.290.2985,Medienwirtschaft/Medienmanagement,,
03.031,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,,,,
03.031.0179,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,03.310.3100,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,,
