concept_id,label_de,label_en,parent_id
01,Geisteswissenschaften,Humanities,
01.010,Geisteswissenschaften allgemein,Humanities (general),01
01.010.0100,Geisteswissenschaften allgemein,Humanities (general),01.010
01.010.0120,Interdisziplinäre Studien (Schwerpunkt Geisteswissenschaften),Interdisciplinary Studies (Focus on Humanities),01.010
01.020,Evangelische Theologie,Protestant Theology,01
01.020.0200,Evang. Theologie allgemein,Protestant Theology (General),01.020
01.020.0210,Altes Testament (ev.),Old Testament (Protestant Theology),01.020
01.020.0215,Diakoniewissenschaft,Diaconal Science,01.020
01.020.0220,Neues Testament (ev.),New Testament (Protestant Theology),01.020
01.020.0230,Historische Theologie (ev.),Historical Theology (Protestant Theology),01.020
01.020.0240,Systematische Theologie (ev.),Systematic Theology (Protestant Theology),01.020
01.020.0250,Praktische Theologie und Religionspädagogik (ev.),Practical Theology And Religious Education (Protestant Theology),01.020
01.020.0260,Religionsgeschichte und Missionswissenschaft (ev.),History Of Religion And Missionary Studies (Protestant Theology),01.020
01.030,Katholische Theologie,Catholic Theology,01
01.030.0300,Kath. Theologie allgemein,Catholic Theology (general),01.030
01.030.0310,Biblische Theologie (kath.),Biblical Theology (Catholic Theology),01.030
01.030.0315,Caritaswissenschaft,Catholic Social Welfare Studies,01.030
01.030.0320,Historische Theologie (kath.),Historical Theology (Catholic Theology),01.030
01.030.0330,Systematische Theologie (kath.),Systematic Theology (Catholic Theology),01.030
01.030.0340,Praktische Theologie und Religionspädagogik (kath.),Practical Theology And Religious Education (Catholic Theology),01.030
01.030.0350,Kanonistik (kath.),Canon Law (Catholic Theology),01.030
01.030.0390,Altkatholische Theologie,Old Catholic Theology,01.030
01.040,Philosophie,Philosophy,01
01.040.0400,Philosophie allgemein,Philosophy (general),01.040
01.040.0410,Religionswissenschaft,Religious Studies,01.040
01.040.0420,Didaktik der Philosophie/der Ethik,Didactics Of Philosophy/Ethics,01.040
01.040.0425,Geschichte der Philosophie,History Of Philosophy,01.040
01.040.0426,Logik,Logic,01.040
01.040.0430,Wissenschaftsforschung/-lehre,Science Research/teaching,01.040
01.050,Geschichte,History,01
01.050.0500,Geschichte allgemein,History (general),01.050
01.050.0510,Ur- und Frühgeschichte,Prehistory And Early History,01.050
01.050.0520,Alte Geschichte,Ancient History,01.050
01.050.0530,Mittelalterliche Geschichte,Medieval History,01.050
01.050.0540,Neuere und neueste Geschichte,Recent And Recent History,01.050
01.050.0550,"Länder-, Landesgeschichte","Country, Regional History",01.050
01.050.0560,Wirtschafts- und Sozialgeschichte,Economic And Social History,01.050
01.050.0570,Archäologie,Archeology,01.050
01.050.0580,Didaktik der Geschichte,Didactics Of History,01.050
01.050.0585,Kultur- und Geistesgeschichte,Cultural And Intellectual History,01.050
01.050.0595,Wissenschaftsgeschichte/Technikgeschichte,History of Science/Technology,01.050
01.070,Informations- und Bibliothekswissenschaften,Information and Library Sciences,01
01.070.0700,Informations- und Bibliothekswissenschaften allgemein,Information and Library Sciences (General),01.070
01.070.0710,Bibliothekswissenschaft (nicht für Verwaltungs-FH),Library Science And Administration (not For College Of Administration),01.070
01.070.0720,Archiv- und Dokumentationswissenschaft,Archival and Documentation Science,01.070
01.070.0730,Informationswissenschaft,Information Science,01.070
01.080,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,General And Comparative Literature And Linguistics,01
01.080.0800,Allgemeine und vergleichende Literatur- und Sprachwissenschaft allgemein,General And Comparative Literature And Linguistics (general),01.080
01.080.0810,Allgemeine und vergleichende Sprachwissenschaft,General And Comparative Linguistics,01.080
01.080.0820,Allgemeine und vergleichende Literaturwissenschaft,General And Comparative Literature,01.080
01.080.0830,"Angewandte Sprachwissenschaft, berufsbezogene Fremdsprachenausbildung","Applied Linguistics, Career-Oriented Foreign Language Training",01.080
01.080.0835,Computerlinguistik,Computational Linguistics,01.080
01.080.0840,Fremdsprachenausbildung (für Hörer aller Fakultäten),Foreign Language Training (for Students Of All Faculties),01.080
01.080.0845,Indogermanistik,Indo-European Linguistics/Studies,01.080
01.090,Altphilologie (klassische Philologie),Classical Philology,01
01.090.0900,Altphilologie allgemein,Classical Philology (general),01.090
01.090.0910,Griechische Philologie,Greek Philology,01.090
01.090.0920,Lateinische Philologie,Latin Philology,01.090
01.090.0930,Byzantinistik,Byzantine Studies,01.090
01.090.0940,Neugriechisch,Modern Greek,01.090
01.090.0950,Papyrologie,Papyrology,01.090
01.090.0960,Didaktik der Altphilologie,Didactics Of Classical Philology,01.090
01.100,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)","German Studies (German, Germanic Languages Excl. English)",01
01.100.1000,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik) allgemein","German Studies (German, Germanic Languages Excl. English General)",01.100
01.100.1020,Skandinavistik,Scandinavian Studies,01.100
01.100.1030,Niederlandistik,Dutch Studies,01.100
01.100.1040,Deutsch als Fremdsprache oder als Zweitsprache,German As A Foreign Language Or As A Second Language,01.100
01.100.1050,Didaktik der deutschen Sprache,Didactics Of The German Language,01.100
01.100.1070,Sonstige germanische Sprachen (ohne Anglistik),Other Germanic Languages (except English Studies),01.100
01.100.1080,Deutsche Literaturwissenschaft,German Literary Studies,01.100
01.100.1090,Deutsche Sprachwissenschaft,German Linguistics,01.100
01.110,"Anglistik, Amerikanistik","English Studies, American Studies",01
01.110.1100,Anglistik,English Studies,01.110
01.110.1110,Amerikanistik,American Studies,01.110
01.110.1120,Didaktik des Englischen,Didactics Of English,01.110
01.110.1125,"Wirtschaftsenglisch, Englische Fachsprachen",Business English And Specialised English,01.110
01.120,Romanistik,Romance Studies,01
01.120.1200,Romanistik allgemein,Romance Studies (general),01.120
01.120.1210,Französische Sprach- und Literaturwissenschaft,French Language And Literature,01.120
01.120.1215,Didaktik des Französischen,Didactics Of French,01.120
01.120.1220,Italienische Sprach- und Literaturwissenschaft,Italian Linguistics And Literature,01.120
01.120.1225,Didaktik des Italienischen,Didactics Of Italian,01.120
01.120.1230,Iberoromanische Sprach- und Literaturwissenschaft,Ibero-romance Linguistics And Literature,01.120
01.120.1235,Didaktik des Spanischen,Didactics Of Spanish,01.120
01.120.1240,Sonstige romanische Sprachen,Other Romance Languages,01.120
01.130,"Slawistik, Baltistik, Finno-Ugristik","Slavic Studies, Baltic Studies, Finno-Ugric Studies",01
01.130.1300,"Slawistik, Baltistik, Finno-Ugristik allgemein","Slavic Studies, Baltic Studies, Finno-Ugric Studies (General)",01.130
01.130.1310,Slawistik allgemein,Slavic Studies (general),01.130
01.130.1315,Ostslawische Philologien,East Slavic Philologies,01.130
01.130.1320,Russische Sprach- und Literaturwissenschaft,Russian Linguistics And Literature,01.130
01.130.1340,Südslawische Philologien,South Slavic Philologies,01.130
01.130.1345,Westslawische Philologien,West Slavic Philologies,01.130
01.130.1346,Polnisch,Polish,01.130
01.130.1347,Sorabistik,Sorabic Studies,01.130
01.130.1348,Tschechisch,Czech,01.130
01.130.1350,Baltistik,Baltic Studies,01.130
01.130.1370,Finno-Ugristik,Finno-ugric Studies,01.130
01.130.1380,Balkanologie,Balkanology,01.130
01.140,Sonstige Sprach- und Kulturwissenschaften,Other Linguistic and Cultural Studies,01
01.140.1400,Sonstige Sprach- und Kulturwissenschaften allgemein,Other/Non-European Linguistics And Cultural Studies (General),01.140
01.140.1410,Ägyptologie,Egyptology,01.140
01.140.1420,Afrikanistik,African Studies,01.140
01.140.1430,Altorientalistik,Ancient Near Eastern Studies,01.140
01.140.1440,Sprachen und Kulturen des christlichen Orients,Languages And Cultures Of The Christian Orient,01.140
01.140.1445,Sprachen und Kulturen des Nahen und Mittleren Ostens,Languages And Cultures Of The Near And Middle East,01.140
01.140.1450,"Semitistik, Arabistik","Semitic Studies, Arabic Studies",01.140
01.140.1460,Judaistik/Hebräisch,Judaic Studies/hebrew,01.140
01.140.1465,Kaukasistik,Caucasian Studies,01.140
01.140.1470,Islamwissenschaft,Islamic Studies,01.140
01.140.1480,Iranistik,Iranian Studies,01.140
01.140.1490,Indologie,Indology,01.140
01.140.1495,Sprachen und Kulturen Ostasiens allgemein,Languages And Cultures Of East Asia (general),01.140
01.140.1510,Turkologie,Turkish Studies,01.140
01.140.1520,Sprachen und Kulturen Zentralasiens,Languages And Cultures Of Central Asia,01.140
01.140.1530,Sinologie,Sinology,01.140
01.140.1540,Japanologie,Japanology,01.140
01.140.1550,Koreanistik,Korean Studies,01.140
01.140.1560,Sprachen und Kulturen Südostasiens und Ozeaniens,Languages And Cultures Of Southeast Asia And Oceania,01.140
01.140.1570,Außereurop. Sprachen und Kulturen Amerikas,Non-european Languages And Cultures Of The Americas,01.140
01.140.1575,Außereurop. Sprachen und Kulturen Australiens,Non-European Languages And Cultures Of Australia,01.140
01.140.1576,Orientalistik allgemein,Oriental Studies (general),01.140
01.140.1610,Sonstige Sprachwissenschaften,Other Linguistics,01.140
01.160,Kulturwissenschaften i.e.S.,Cultural Studies I.e.s.,01
01.160.1580,Ethnologie,Ethnology,01.160
01.160.1590,Volkskunde,Folklore,01.160
01.160.1650,Allgemeine Kulturwissenschaft,General Cultural Studies,01.160
01.160.1660,Europäische Ethnologie,European Ethnology,01.160
01.195,Islamische Studien/Islamische Theologie,Islamic Studies/Islamic Theology,01
01.195.1950,Islamische Studien/Islamische Theologie,Islamic Studies/Islamic Theology,01.195
01.197,Medienwissenschaft,Media Studies,01
01.197.0130,Medienwissenschaft,Media Studies,01.197
02,Sport,Sports,
02.200,Sport,Sports (General),02
02.200.2000,Sportwissenschaften allgemein,Sports Science (general),02.200
02.200.2005,Didaktik des Sports,Didactics of Sports,02.200
02.200.2010,Sportmedizin,Sports Medicine,02.200
02.200.2020,Sportpädagogik/Sportpsychologie,Sports Pedagogy/sports Psychology,02.200
03,"Rechts-, Wirtschafts- und Sozialwissenschaften","Law, Economics And Social Sciences",
03.220,"Rechts-, Wirtschafts- und Sozialwissenschaften allgemein","Law, Economics And Social Sciences (General)",03
03.220.2200,"Rechts-, Wirtschafts- und Sozialwissenschaften allgemein","Law, Economics And Social Sciences (General)",03.220
03.220.2210,"Interdisziplinäre Studien (Schwerpunkt Rechts-, Wirtschafts- und Sozialwissenschaften)","Interdisciplinary Studies (Focus On Law, Economics And Social Sciences)",03.220
03.220.2230,Wirtschafts- und Sozialpolitik,Economic And Social Policy,03.220
03.225,Regionalwissenschaften,Regional Studies,03
03.225.2250,Afrika-Studien,African Studies,03.225
03.225.2255,Lateinamerika-Studien,Latin American Studies,03.225
03.225.2260,Nordamerika-Studien,North American Studies,03.225
03.225.2265,Naher und Mittlerer Osten-Studien,Near And Middle East,03.225
03.225.2270,Ostasien-Studien,East Asian Studies,03.225
03.225.2275,Südasien-Studien,South Asian Studies,03.225
03.225.2280,Südostasien und Ozeanien-Studien,Southeast Asia And Oceania,03.225
03.225.2285,Ost- und Südosteuropa-Studien,Eastern and Southeastern European Studies,03.225
03.225.2290,Nord- und Westeuropa-Studien,Northern and Western European Studies,03.225
03.230,Politikwissenschaft,Political Science,03
03.230.2300,Politikwissenschaft allgemein,Political Science (general),03.230
03.230.2350,"Internationale Politik, Internationale Beziehungen","International Politics, International Relations",03.230
03.230.2360,Politische Bildung,Political Education,03.230
03.230.2370,Politische Systeme,Political Systems,03.230
03.230.2380,Politische Theorie und Ideengeschichte,Political Theory and History of Ideas,03.230
03.235,Sozialwissenschaften/Soziologie,Social Sciences/Sociology,03
