id,label,parent_id,isced_id
4,Interdisziplinäre Studien (Schwerpunkt Geisteswissenschaften),1,220
90,Lernbereich Geisteswissenschaften,1,145
161,Diakoniewissenschaft,2,221
544,"Evang. Religionspädagogik, kirchliche Bildungsarbeit",2,221
53,"Evang. Theologie, -Religionslehre",2,221
162,Caritaswissenschaft,3,221
545,"Kath. Religionspädagogik, kirchliche Bildungsarbeit",3,221
86,"Kath. Theologie, -Religionslehre",3,221
169,Ethik,4,226
127,Philosophie,4,226
136,Religionswissenschaft,4,221
272,Alte Geschichte,5,225
12,Archäologie,5,225
68,Geschichte,5,225
273,Mittlere und neuere Geschichte,5,225
548,Ur- und Frühgeschichte,5,225
183,Wirtschafts-/Sozialgeschichte,5,225
275,Wissenschaftsgeschichte/Technikgeschichte,5,225
22,Informations- und Bibliothekswissenschaften (nicht für Verwaltungsfachhochschulen),6,322
37,Archiv- und Dokumentationswissenschaft,6,322
188,Allgemeine Literaturwissenschaft,7,223
152,Allgemeine Sprachwissenschaft/Indogermanistik,7,223
284,Angewandte Sprachwissenschaft,7,223
18,Berufsbezogene Fremdsprachenausbildung,7,222
160,Computerlinguistik,7,220
31,Byzantinistik,8,222
70,Griechisch,8,222
5,Klassische Philologie,8,222
95,Latein,8,222
43,Neugriechisch,8,222
34,Dänisch,9,223
271,Deutsch als Fremdsprache oder als Zweitsprache,9,222
67,Germanistik/Deutsch,9,223
189,Niederdeutsch,9,223
119,Niederländisch,9,223
120,"Nordistik/Skandinavistik (Nord. Philologie, Einzelsprachen a.n.g.)",9,222
6,Amerikanistik/Amerikakunde,10,222
8,Anglistik/Englisch,10,222
59,Französisch,11,222
84,Italienisch,11,222
131,Portugiesisch,11,222
137,"Romanistik (Romanische Philologie, Einzelsprachen a.n.g.)",11,222
150,Spanisch,11,222
16,Baltistik,12,222
56,Finno-Ugristik,12,222
206,Polnisch,12,222
139,Russisch,12,222
146,Slawistik (Slaw. Philologie),12,222
207,Sorabistik,12,222
153,"Südslawisch (Bulgarisch, Serbokroatisch, Slowenisch usw.)",12,222
209,Tschechisch,12,222
130,Westslawisch (allgemein und a.n.g.),12,222
1,Ägyptologie,13,225
2,Afrikanistik,13,222
10,Arabisch/Arabistik,13,222
15,Außereuropäische Sprachen und Kulturen in Ozeanien und Amerika,13,222
73,Judaistik/Hebräisch ,13,222
78,Indologie,13,222
81,Iranistik,13,310
83,Islamwissenschaft,13,310
85,Japanologie,13,222
180,Kaukasistik,13,222
122,"Orientalistik, Altorientalistik",13,222
145,Sinologie/Koreanistik,13,222
158,Turkologie,13,222
187,Asiatische Sprachen und Kulturen/Asienwissenschaften,13,222
24,Europäische Ethnologie und Kulturwissenschaft,14,312
173,Ethnologie,14,312
174,Volkskunde,14,312
292,Islamische Studien/Islamische Theologie,18,222
302,Medienwissenschaft,19,321
98,Sportpädagogik/Sportpsychologie,22,142
29,Sportwissenschaft,22,813
30,"Interdisziplin. Studien (Schwerpunkt Rechts-, Wirtschafts- und Sozialwissenschaften)",23,310
154,Lernbereich Gesellschaftslehre,23,145
55,Orientierungsstudium Gesellschaftswissenschaften,23,145
38,Lateinamerika-Studien,24,310
44,Ost- und Südosteuropa-Studien,24,310
36,Sonstige Regionalwissenschaften,24,310
129,Politikwissenschaft/Politologie,25,313
147,Sozialkunde,26,145
148,Sozialwissenschaften,26,312
149,Soziologie,26,312
208,Soziale Arbeit,27,762
245,Sozialpädagogik,27,761
253,Sozialwesen,27,762
135,Rechtswissenschaft,28,380
42,Wirtschaftsrecht,28,380
257,Arbeits- und Berufsberatung,29,762
258,Arbeitsverwaltung,29,345
255,Archivwesen,29,322
259,Auswärtige Angelegenheiten,29,345
265,Bankwesen,29,343
262,Bibliothekswesen,29,322
260,Bundeswehrverwaltung,29,345
266,Finanzverwaltung,29,344
261,Innere Verwaltung,29,345
168,Justizvollzug,29,861
263,Polizei/Verfassungsschutz,29,861
256,Rechtspflege,29,380
264,Sozialversicherung,29,343
268,Verkehrswesen,29,840
172,Verwaltungswissenschaft/-wesen,29,345
269,Zoll- und Steuerverwaltung,29,344
11,Arbeitslehre/Wirtschaftslehre,30,145
21,Betriebswirtschaftslehre,30,340
167,Europäische Wirtschaft,30,340
304,Medienwirtschaft/Medienmanagement,30,340
182,Intern. Betriebswirtschaft/Management,30,340
166,Sportmanagement/Sportökonomie,30,345
274,Tourismuswirtschaft,30,812
210,Verkehrswirtschaft,30,840
175,Volkswirtschaftslehre,30,314
181,Wirtschaftspädagogik,30,145
184,Wirtschaftswissenschaften,30,340
464,Facility Management,31,341
179,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,31,340
132,Psychologie,32,311
117,Ausländerpädagogik,33,142
270,Berufs- und Wirtschaftspädagogik,33,142
321,Erwachsenenbildung und außerschulische Jugendbildung,33,142
52,Erziehungswissenschaft (Pädagogik),33,142
365,Pädagogik der frühen Kindheit,33,142
115,Grundschul-/Primarstufenpädagogik,33,144
254,Sachunterricht (einschl. Schulgarten),33,144
361,Schulpädagogik,33,142
190,Sonderpädagogik,33,144
303,Kommunikationswissenschaft/Publizistik,34,321
49,Interdisziplin. Studien (Schwerpunkt Naturwissenschaften),36,440
